old,url,name,awsurl
|  barton_college-01.jpg                                   |,https://sandbox.markofthelam.com/titleIX/barton_college-01.jpg,BARTON COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/barton_college-01.jpg
|  barton_college-02.jpg                                   |,https://sandbox.markofthelam.com/titleIX/barton_college-02.jpg,BARTON COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/barton_college-02.jpg
|  barton_college-03.jpg                                   |,https://sandbox.markofthelam.com/titleIX/barton_college-03.jpg,BARTON COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/barton_college-03.jpg
|  barton_college-04.jpg                                   |,https://sandbox.markofthelam.com/titleIX/barton_college-04.jpg,BARTON COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/barton_college-04.jpg
|  barton_college-05.jpg                                   |,https://sandbox.markofthelam.com/titleIX/barton_college-05.jpg,BARTON COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/barton_college-05.jpg
|  baylor_university-01.jpg                                |,https://sandbox.markofthelam.com/titleIX/baylor_university-01.jpg,BAYLOR UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/baylor_university-01.jpg
|  baylor_university-02.jpg                                |,https://sandbox.markofthelam.com/titleIX/baylor_university-02.jpg,BAYLOR UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/baylor_university-02.jpg
|  baylor_university-03.jpg                                |,https://sandbox.markofthelam.com/titleIX/baylor_university-03.jpg,BAYLOR UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/baylor_university-03.jpg
|  bethany_college-01.jpg                                  |,https://sandbox.markofthelam.com/titleIX/bethany_college-01.jpg,BETHANY COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/bethany_college-01.jpg
|  bethany_college-02.jpg                                  |,https://sandbox.markofthelam.com/titleIX/bethany_college-02.jpg,BETHANY COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/bethany_college-02.jpg
|  bluefield_college-01.jpg                                |,https://sandbox.markofthelam.com/titleIX/bluefield_college-01.jpg,BLUEFIELD COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/bluefield_college-01.jpg
|  bluefield_college-02.jpg                                |,https://sandbox.markofthelam.com/titleIX/bluefield_college-02.jpg,BLUEFIELD COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/bluefield_college-02.jpg
|  bluefield_college-03.jpg                                |,https://sandbox.markofthelam.com/titleIX/bluefield_college-03.jpg,BLUEFIELD COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/bluefield_college-03.jpg
